,random,central,marginal
0,0.02475860361475613,0.02475860361475613,0.02475860361475613
1,0.28497152760584304,0.2799207724684328,0.27655360237682597
2,0.5874721465709335,0.5889081455805892,0.5850458034166873
3,0.8224312948749691,0.8251547412725923,0.8193117108195097
4,0.9382025253775688,0.9431542461005199,0.9388957662787818
5,0.9817281505323099,0.9832631839564249,0.981629116117851
6,0.9936122802673929,0.9955434513493439,0.9943550383758356
7,0.9979202772963605,0.9986135181975737,0.9984154493686556
8,0.9993562763060163,0.9994057935132459,0.9995048279277049
9,0.9998514483783115,0.9998514483783115,0.9998514483783115
10,1.0,0.9999504827927705,0.9999504827927705
11,1.0,0.9999504827927705,1.0
12,1.0,0.9999504827927705,1.0
13,1.0,0.9999504827927705,1.0
14,1.0,1.0,1.0
15,1.0,1.0,1.0
