,random,central,marginal
0,0.02475860361475613,0.02475860361475613,0.02475860361475613
1,0.25392423867293884,0.3130477841049765,0.24100024758603614
2,0.47823718742262933,0.5619212676405051,0.4654122307501857
3,0.6685318148056449,0.7446892795246348,0.6548650656102996
4,0.8095073037880663,0.8568952711067096,0.7922257984649667
5,0.8941817281505323,0.9237435008665511,0.8821985640009903
6,0.9418172815053231,0.9595939589007181,0.935231492943798
7,0.9680614013369646,0.9779153255756375,0.9640505075513741
8,0.9820252537756871,0.9876702153998514,0.9799455310720475
9,0.9902946273830157,0.9933646942312453,0.9888091111661302
10,0.9942560039613766,0.9967813815300817,0.9937608318890815
11,0.9967813815300817,0.9983659321614261,0.9966328299083932
12,0.9981183461252786,0.9989106214409507,0.9980688289180489
13,0.9989601386481803,0.9992077246843278,0.9990591730626392
14,0.9995048279277049,0.9996038623421639,0.9993067590987867
15,0.9997524139638524,0.999801931171082,0.9997028967566229
