,random,central,marginal
0,0.02475860361475613,0.02475860361475613,0.02475860361475613
1,0.24511017578608565,0.2554592720970537,0.22683832631839565
2,0.5125030948254519,0.527407774201535,0.49111166130230255
3,0.7452339688041595,0.7557811339440456,0.7288932904184204
4,0.8869522158950235,0.8932409012131716,0.8783857390443179
5,0.9548403070066848,0.959494924486259,0.9530081703391928
6,0.9823718742262937,0.9848972517949988,0.9807378063877197
7,0.9934637286457043,0.9940084179252291,0.9924733845011141
8,0.9974251052240654,0.9981183461252786,0.9971775191879177
9,0.9989601386481803,0.9990591730626392,0.9988115870264916
10,0.9996038623421639,0.9997524139638524,0.9995048279277049
11,0.999801931171082,0.9999504827927705,0.9997524139638524
12,0.9998514483783115,1.0,0.9999504827927705
13,0.9999504827927705,1.0,1.0
14,0.9999504827927705,1.0,1.0
15,0.9999504827927705,1.0,1.0
