,random,central,marginal
0,0.02475860361475613,0.02475860361475613,0.02475860361475613
1,0.2721960881406289,0.26996781381530083,0.22728398118346124
2,0.5835107699925725,0.5715276058430305,0.5165139886110423
3,0.822233226046051,0.8149046793760832,0.7610299579103739
4,0.9399356276306017,0.9377568705125031,0.9106214409507304
5,0.9812824956672443,0.979995048279277,0.9718742262936371
6,0.9940084179252291,0.9947016588264421,0.9925229017083437
7,0.997771725674672,0.9985144837831146,0.9979202772963605
8,0.9992077246843278,0.9997028967566229,0.9994553107204754
9,0.9997524139638524,0.999900965585541,0.9998514483783115
10,0.999900965585541,1.0,0.9999504827927705
11,0.999900965585541,1.0,0.9999504827927705
12,0.9999504827927705,1.0,1.0
13,1.0,1.0,1.0
14,1.0,1.0,1.0
15,1.0,1.0,1.0
